"SiteCode_numeric","yday","SiteCode","daylength","prcp","radiation","swe","tmax","tmin","vp","year","climYr","climDay","season","tavg"
"1",1,"dino",33022.421875,0,241.960006713867,0,3.35999989509583,-11.3999996185303,251.570007324219,2024,2024,93,"Win",-4.01999986171723
"1",2,"dino",33064.3515625,0,242.259994506836,0,2.96000003814697,-11.7299995422363,246.059997558594,2024,2024,94,"Win",-4.38499975204467
"1",3,"dino",33109.7109375,0,246.559997558594,0,2.75,-12.3599996566772,233.350006103516,2024,2024,95,"Win",-4.8049998283386
"1",4,"dino",33158.4609375,0,236.649993896484,0,4.67999982833862,-9.19999980926514,295.649993896484,2024,2024,96,"Win",-2.25999999046326
"1",5,"dino",33210.578125,0,208.279998779297,0,2.47000002861023,-8.65999984741211,317.829986572266,2024,2024,97,"Win",-3.09499990940094
"1",6,"dino",33266.01171875,0,222.240005493164,0,1.20000004768372,-10.9399995803833,265.380004882812,2024,2024,98,"Win",-4.86999976634979
"1",7,"dino",33324.73046875,0,155.770004272461,0,0.200000002980232,-7.38000011444092,351.089996337891,2024,2024,99,"Win",-3.59000005573034
"1",8,"dino",33386.69921875,0,175.330001831055,0,-1.1599999666214,-9.77000045776367,291.160003662109,2024,2024,100,"Win",-5.46500021219254
"1",9,"dino",33451.859375,0,195.630004882812,0,-3.47000002861023,-13.2200002670288,220.789993286133,2024,2024,101,"Win",-8.34500014781952
"1",10,"dino",33520.1796875,2.75,186.990005493164,2.75,-2,-13.8999996185303,208.800003051758,2024,2024,102,"Win",-7.94999980926515
"1",11,"dino",33591.609375,0,243.559997558594,2.75,-2.04999995231628,-13.3299999237061,218.830001831055,2024,2024,103,"Win",-7.68999993801119
"1",12,"dino",33666.08984375,0,306.440002441406,2.75,-0.490000009536743,-18.1000003814697,144.139999389648,2024,2024,104,"Win",-9.29500019550322
"1",13,"dino",33743.58984375,1.6599999666214,291.589996337891,4.40000009536743,3.65000009536743,-11.6999998092651,231.220001220703,2024,2024,105,"Win",-4.02499985694883
